run,model,attempt,condition,score
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,baseline,0.36967910702029866
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,calm_+1.0,0.36967910702029866
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,calm_-1.0,0.36967910702029866
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,desperate_+1.0,0.36967910702029866
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,desperate_-1.0,0.36967910702029866
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,baseline,0.4017360077963935
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,calm_+1.0,0.4044136827190717
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,calm_-1.0,0.40614157170057297
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,desperate_+1.0,0.4049860015511513
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,desperate_-1.0,0.402341575258308
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,baseline,0.41112298021713894
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,calm_+1.0,0.41804536680380505
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,calm_-1.0,0.41864101340373355
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,desperate_+1.0,0.42066070934136707
qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,desperate_-1.0,0.41500256458918255
starcoder2-7b,bigcode/starcoder2-7b,0,baseline,0.442636676132679
starcoder2-7b,bigcode/starcoder2-7b,0,calm_+1.0,0.442636676132679
starcoder2-7b,bigcode/starcoder2-7b,0,calm_-1.0,0.442636676132679
starcoder2-7b,bigcode/starcoder2-7b,0,desperate_+1.0,0.442636676132679
starcoder2-7b,bigcode/starcoder2-7b,0,desperate_-1.0,0.442636676132679
starcoder2-7b,bigcode/starcoder2-7b,1,baseline,0.4538267385214567
starcoder2-7b,bigcode/starcoder2-7b,1,calm_+1.0,0.455910620590051
starcoder2-7b,bigcode/starcoder2-7b,1,calm_-1.0,0.4580919158955415
starcoder2-7b,bigcode/starcoder2-7b,1,desperate_+1.0,0.4612614729752143
starcoder2-7b,bigcode/starcoder2-7b,1,desperate_-1.0,0.4522141261647145
starcoder2-7b,bigcode/starcoder2-7b,2,baseline,0.45792913312713307
starcoder2-7b,bigcode/starcoder2-7b,2,calm_+1.0,0.46192204020917416
starcoder2-7b,bigcode/starcoder2-7b,2,calm_-1.0,0.4642444097747405
starcoder2-7b,bigcode/starcoder2-7b,2,desperate_+1.0,0.46510643884539604
starcoder2-7b,bigcode/starcoder2-7b,2,desperate_-1.0,0.4584572743624449
